feature,importance
indmom,0.030921873452908925
idiovol,0.025111280193923856
bm_ia,0.014644902890753566
mom1m,0.013066956618171907
std_dolvol,0.011705445196817212
sp,0.011296242632517776
dolvol,0.010072911561578482
turn,0.008725708972814624
aeavol,0.008285512714829343
rd_mve,0.008170057308550647
chpmia,0.007837731607584615
mom36m,0.007774058118793667
ps,0.007763931198590933
lev,0.007097927543762708
maxret,0.006399725357997756
betasq,0.006275762552512658
age,0.006180421308605847
pchdepr,0.005630422554060342
salecash,0.005468063903823569
roaq,0.005462657982587341
retvol,0.005321372364871305
pchcapx_ia,0.005227632810080197
zerotrade,0.005040655844851222
invest,0.004935451202375372
ep,0.0048136348088284936
mom12m,0.00479954601730408
rsup,0.004623386891378864
roeq,0.004558881342999753
roavol,0.004480590351444416
cashpr,0.0041873251245068185
dy,0.004141280774941686
absacc,0.00413127358991288
sgr,0.003972199817222618
ill,0.0038754420127141338
lgr,0.003782164066095874
cfp_ia,0.0037607408785869673
hire,0.00362472737655761
std_turn,0.0034806166488836987
beta,0.0034621109797967208
gma,0.003432910929360339
chmom,0.003134866326455703
agr,0.0029436757260341293
rd_sale,0.0028300987493813786
mvel1,0.0027903699903950438
orgcap,0.002788332716189671
nincr,0.0027409345414007723
convind,0.002592843533133183
cashdebt,0.00257826211391977
chatoia,0.00249922413414443
egr,0.002440856888600167
bm,0.0023333367507850583
securedind,0.002325254799298835
chinv,0.002300281571945522
chtx,0.002267566654095629
ms,0.002265862555399473
mve_ia,0.0020161288960168252
divo,0.002010732945564211
tang,0.0019582768129245407
chcsho,0.001940582379369039
rd,0.0019286524095516533
pchgm_pchsale,0.001883273403679646
cfp,0.0018408434439036085
ear,0.0017597526363964746
herf,0.0016256124116071108
realestate,0.0016068515735895436
secured,0.0015466942706811428
grltnoa,0.0014280160173270862
roic,0.0014013367811085125
pchsale_pchinvt,0.0011985710628919439
stdacc,0.0011418393302436343
pchsale_pchxsga,0.0011301732770829462
operprof,0.0011300004087626309
stdcf,0.0010941770064653994
pricedelay,0.0010445029890489377
chempia,0.0010328384152757982
pchquick,0.0010109704324996246
saleinv,0.0009892465333955925
grcapx,0.0009244225365771382
pchcurrat,0.000900115892168511
divi,0.0008944316656117008
salerec,0.0008366847525777836
pchsale_pchrect,0.0008104667422021062
pctacc,0.0007636058584710279
cash,0.0007175474888879362
cinvest,0.0007032953670219973
pchsaleinv,0.0006137452175956561
mom6m,0.00038514264322361835
acc,0.00030124763464221095
baspread,0.00028310810378411744
depr,0.00026108293252584955
quick,0.0002563105521979237
tb,3.636964016903201e-05
currat,2.2980017315444624e-05
sin,
