feature,importance
indmom,0.025184839365716978
idiovol,0.02323862275101548
bm_ia,0.018924875340508806
mom1m,0.01174171695748947
aeavol,0.010887377281352396
bm,0.010713141224628488
turn,0.010658869529961385
std_dolvol,0.010453834812975437
mom12m,0.009391405351039276
mom6m,0.009328790017811886
sp,0.00910216351822033
dolvol,0.00876958445253285
ps,0.00846750017386166
chpmia,0.008002267467684145
lev,0.00699186269340719
hire,0.006704302812445076
maxret,0.006534416172366467
betasq,0.006256427576236259
invest,0.0058476294585300915
std_turn,0.00580227300305247
retvol,0.005738151029543662
lgr,0.005561380016042772
age,0.005414388344897476
pchcapx_ia,0.005356414352911498
salecash,0.005270098149367406
agr,0.004701669081248277
roavol,0.004251542288779598
rsup,0.00417530983184187
roaq,0.004162447906726159
absacc,0.004148056740632728
gma,0.004145783855010019
ear,0.0041264143349821324
mom36m,0.004087924959923067
sgr,0.004070277170518829
chtx,0.0040526987148310515
mve_ia,0.0038806167188058615
zerotrade,0.003778598378808536
chcsho,0.003663193370994457
rd_mve,0.0036199457303447685
chatoia,0.0035080959639779597
grltnoa,0.0034444330066573784
pchdepr,0.00342365089268117
beta,0.0033971108389559104
cashpr,0.003376254825105658
roeq,0.0033678297738132567
divo,0.003190046213007062
pchsale_pchxsga,0.003161950514526956
cfp,0.002997126395721277
convind,0.0029892505802945886
dy,0.0029868393584803967
cfp_ia,0.0028977506712021778
pchgm_pchsale,0.002565986972545066
ill,0.0025298611845812747
chinv,0.0021492265642654037
ep,0.0020424405599541603
divi,0.001959384401348185
orgcap,0.0018693467679615676
ms,0.0018277782829021496
realestate,0.0017328661839305492
depr,0.0016342118990307387
pchcurrat,0.001492025398349954
pchquick,0.0013973861153476859
herf,0.0013963008425584074
saleinv,0.0013442886112193593
rd_sale,0.0013068700979063385
cinvest,0.0012826975389371661
cashdebt,0.0012723143977172971
tang,0.0012080262666815586
pchsale_pchinvt,0.00112583573471335
mvel1,0.0011205444276662416
chmom,0.0010772442434775886
pricedelay,0.0010465370396867874
egr,0.0009694324553570977
secured,0.0009503681258071416
operprof,0.0009480360274198839
currat,0.0009429649474433151
securedind,0.0008948726529984101
pctacc,0.0008866375979760393
acc,0.000813467533886851
nincr,0.000805513480227272
grcapx,0.000666299109229556
pchsaleinv,0.0006266662133579953
quick,0.0005844720799256904
rd,0.0005635604228689915
roic,0.0005095684290028431
tb,0.0004696423630941878
stdacc,0.0002619322463232471
stdcf,0.00026170816540751346
baspread,0.00018865423043803333
cash,0.0001880460669671383
chempia,0.00017870932432233186
pchsale_pchrect,0.00017595482181658722
salerec,9.933131546155914e-05
sin,
