feature,gain,split,gain_pct,split_pct,group
indmom,4418.0216056754,20112,34.280157174097766,18.683809594589572,Momentum
herf,1270.738952558022,6121,9.859872791246344,5.686336442346995,Other
mve_ia,848.6459564403631,2190,6.584783726400725,2.0344840399836497,Other
sic2,477.68868250306696,2790,3.706465150703915,2.5918769276504032,Other
bm_ia,430.5452040515456,2667,3.3406711380680743,2.4776113856787187,Value
mom1m,277.8437461159192,3285,2.155835379903665,3.0517260599754747,Momentum
chpmia,267.9259912050911,1948,2.078881886348852,1.809668908624726,Other
retvol,255.25500210313476,4216,1.9805655953175092,3.9166140240050535,Volatility
cfp_ia,226.5165642639622,1788,1.7575793236344244,1.6610308052469251,Value
chmom,178.14059441597783,2424,1.3822222072934771,2.251867266173684,Momentum
mom12m,168.86620274320012,1686,1.3102606750482404,1.566274014343577,Momentum
maxret,154.34748299780767,3116,1.1976075376802886,2.8947270632826725,Other
age,152.11150738871947,1166,1.180258234721125,1.0832001783657241,Investment
mom6m,144.26014306920115,2022,1.1193382060461983,1.8784140314369588,Momentum
mom36m,140.2776670588355,1642,1.0884375188693782,1.5253985359146818,Momentum
pchcapx_ia,125.63073537452146,1259,0.974789563954092,1.169596075954071,Other
std_dolvol,121.85484650899889,1592,0.9454918204537517,1.478949128609119,Volatility
zerotrade,121.03473960193514,1651,0.9391284759111189,1.533759429229683,Liquidity
baspread,119.23738025582861,1539,0.9251824687653601,1.4297127568652224,Value
ep,118.35175979719497,900,0.9183107937876828,0.8360893315001301,Value
sp,113.7077136891894,682,0.8822768752795249,0.6335699156478763,Value
ill,113.41300006821984,1640,0.8799901437625931,1.5235405596224592,Other
dolvol,109.63779853426968,1255,0.8506977333811091,1.1658801233696259,Liquidity
roavol,95.5003503874359,993,0.741002945132098,0.9224852290884769,Profitability
turn,81.78045486105839,1264,0.6345480164254914,1.174241016684627,Liquidity
idiovol,80.98167533276137,1158,0.6283501545267859,1.075768273196834,Volatility
std_turn,79.62380032119108,1399,0.6178141787045732,1.2996544164096466,Volatility
bm,78.8706056025112,1161,0.6119700168503445,1.0785552376351677,Value
secured,73.35893147921888,599,0.569204029695335,0.5564638995206421,Other
salecash,73.12651981879026,565,0.5674007093497867,0.5248783025528594,Other
dy,64.51381872210186,401,0.5005733432480161,0.3725242465906135,Other
pctacc,64.38193230389152,714,0.4995500148107872,0.6632975363234365,Accruals
pricedelay,64.29755124947405,1269,0.49889528831415103,1.1788859574151833,Other
chempia,62.17678382107988,872,0.4824399046008463,0.8100776634090149,Other
acc,62.16283314170141,676,0.4823316589822271,0.6279959867712088,Accruals
depr,60.29781507162261,760,0.46786067665549846,0.7060309910445542,Value
salerec,57.898403136234265,799,0.44924324432677076,0.7422615287428932,Other
mvel1,57.853174723975826,1031,0.44889230962808974,0.9577867786407045,Size
beta,54.58222594909603,925,0.42351247944182235,0.8593140351529115,Volatility
roaq,51.65341237653047,672,0.40078733263126715,0.6242800341867638,Profitability
lev,50.16153566422872,598,0.38921161554641104,0.5555349113745308,Other
tb,48.263838335638866,808,0.37448706947145344,0.7506224220578945,Other
orgcap,45.907183022471145,573,0.35620139281546254,0.5323102077217494,Other
betasq,44.21721117710695,814,0.34308862297195053,0.7561963509345621,Volatility
saleinv,42.859703872090904,570,0.33255550024544417,0.5295232432834157,Investment
cfp,42.65024461038411,673,0.3309302713412542,0.625209022332875,Value
securedind,40.980826946906745,120,0.31797698477975256,0.11147857753335068,Other
rsup,40.92964034026954,736,0.31757981946972375,0.6837352755378842,Other
cashpr,40.29912101739319,537,0.3126875162130486,0.4988666344617443,Profitability
gma,39.034444579338015,557,0.30287468347017155,0.5174463973839694,Other
